
2/10/2014,"Randy Sterling Trucking Inc., Morrisdale, PA 16858",Worker killed when truck rolled over him during repairs.,Fatality
2/10/2014,"Sperle Family Farm, Napoleon, ND 58561",Worker died after being engulfed by grain.,Fatality
2/10/2014,"Wheeler Electric Inc., Idaho Falls, ID 83404",Worker struck and killed by a switch panel. ,Fatality
2/9/2014,"Jarrell Contractors Inc., Fairview, WV 26570",Three workers hospitalized from overexposure to carbon monoxide.  ,Catastrophe
2/8/2014,"Sierra Lawn Care Service, Saint Petersburg, FL 33705",Worker electrocuted by powerline while trimming trees. ,Fatality
2/8/2014,"Total Appearance Exhibit Service Inc., Tulare, CA  93274",Worker was struck and killed by a tractor trailer.,Fatality
2/7/2014,"Interfacing Company of Texas Inc., Manvel, TX 77578",Worker killed in trench collapse. ,Fatality
2/7/2014,"Qc of Kentucky Inc., Calvert City, KY 42029",Worker died after inhaling nitrogen.,Fatality
2/6/2014,"Don Hamann, Inc., Selma, OR 97538",Worker was struck and killed by a tree limb.,Fatality
2/6/2014,"Jack Spring Electrical Contractors Inc., Benton, LA 71006",Worker electrocuted while repairing a transformer.,Fatality
2/5/2014,"Advocate Good Shepherd Hospital, Barrington, IL 60010",Worker struck and killed by snow plow.,Fatality
2/5/2014,"Kahanakoa Construction, Inc., Holualou, HI 96725",Worker died when a drum compactor crashed into a carport.,Fatality
2/4/2014,"Brickell Hotel Group LLP, Miami, FL 33130",Worker killed in vehicle collision.,Fatality
2/4/2014,"Via Christi Hospital, Pittsburg, KS 66762",Nurse struck and killed by motor vehicle.,Fatality
2/4/2014,"Wayne Terry, Brooksville, KY 41004",Worker killed in fall through manhole.,Fatality
2/3/2014,"Enterprise Farms, Moravia, NY 13118",Worker killed after being caught in a feed auger.,Fatality
2/3/2014,"NEL & Sons Inc., Coral Gables, FL 33134",Worker killed in fall from ladder.,Fatality
2/3/2014,"Patron Services LLC, Artesia, NM  88210",Worker was electrocuted when crane contacted a powerline.,Fatality
2/2/2014,"Eastern Truck Equipment LLC, Boonsboro, MD 21713",Worker was struck and killed by a tractor tire that exploded during inflation.,Fatality
2/2/2014,"Happy Dog Restaurant, Cleveland, OH 44102",Worker died in fall down stairs.,Fatality
2/1/2014,"Med Care Pharmacy LLC, Grayson, KY 41042",Worker killed in motor vehicle collision.,Fatality
2/1/2014,"S. & S. Communication Specialist Inc., Clarksburg, WV 26301",Two workers killed in a communications tower collapse.,Fatality
1/31/2014,"Curtis Steel Co., Inc., Las Vegas, NV 89102",Worker struck and killed by bundle of steel.,Fatality
1/31/2014,"Erosion Control & Landscape Services Inc., Pikeville, MD 21108",Worker was struck and killed by a motor vehicle.,Fatality
1/31/2014,"Maruichi Leavitt Pipe & Tube, Chicago, IL 60643",Worker cutting metal tubing died after being caught by a large band saw. ,Fatality
1/31/2014,"Step Above Home Maintenance, Farmington Hills, MI 48335",Worker died in fall from roof.,Fatality
1/31/2014,"United Mechnical Corporation, Shelby, NC  28151",Worker struck and killed by a pipe.,Fatality
1/30/2014,"Jesus Orta, Forney, TX 75126",Worker killed in fall from scaffold while finishing drywall.,Fatality
1/30/2014,"Mayville Engineering, Beaver Dam, WI 53916",Worker killed in vehicle collision during a snow storm. ,Fatality
1/30/2014,"Mersen USA St. Marys-PA Corporation, Saint Marys, PA 15857",Worker killed when an industrial oven exploded.,Fatality
1/29/2014,"Graham Lumber Company, Selmer, TN  38375",Worker killed after being caught by a conveyor.,Fatality
